Limit Breached,Result Date,Parameter,Sample Point,Result
False,2025-03-11 13:48:00,"Chlorine, Free",ZONE_CB_NODE_16,0.53
False,2025-03-11 13:48:00,"Chlorine, Total",ZONE_CB_NODE_16,0.62
False,2025-03-11 13:48:00,Temperature,ZONE_CB_NODE_16,18.5
False,2025-03-11 13:48:00,pH field,ZONE_CB_NODE_16,7.6
False,2025-03-11 13:30:00,"Chlorine, Free",ZONE_CB_NODE_14,0.38
False,2025-03-11 13:30:00,"Chlorine, Total",ZONE_CB_NODE_14,0.51
False,2025-03-11 13:30:00,pH field,ZONE_CB_NODE_14,7.6
False,2025-03-11 13:30:00,Temperature,ZONE_CB_NODE_14,16.8
False,2025-03-11 13:10:00,"Chlorine, Free",ZONE_CB_NODE_04,0.61
False,2025-03-11 13:10:00,"Chlorine, Total",ZONE_CB_NODE_04,0.73
False,2025-03-11 13:10:00,pH field,ZONE_CB_NODE_04,7.6
False,2025-03-11 13:10:00,Temperature,ZONE_CB_NODE_04,17.4
False,2025-03-11 13:00:00,"Chlorine, Free",ZONE_AP_NODE_15,1.0
False,2025-03-11 13:00:00,"Chlorine, Total",ZONE_AP_NODE_15,1.2
False,2025-03-11 13:00:00,pH field,ZONE_AP_NODE_15,7.8
False,2025-03-11 13:00:00,Temperature,ZONE_AP_NODE_15,15.0
False,2025-03-11 12:42:00,"Chlorine, Free",ZONE_AY_NODE_02,0.81
False,2025-03-11 12:42:00,"Chlorine, Total",ZONE_AY_NODE_02,0.99
False,2025-03-11 12:42:00,Temperature,ZONE_AY_NODE_02,16.1
False,2025-03-11 12:42:00,pH field,ZONE_AY_NODE_02,7.2
False,2025-03-11 12:30:00,"Chlorine, Free",ZONE_BH_NODE_18,0.64
False,2025-03-11 12:30:00,"Chlorine, Total",ZONE_BH_NODE_18,0.87
False,2025-03-11 12:30:00,pH field,ZONE_BH_NODE_18,8.1
False,2025-03-11 12:30:00,Temperature,ZONE_BH_NODE_18,13.2
False,2025-03-11 12:30:00,"Chlorine, Free",ZONE_CA_NODE_14,0.89
False,2025-03-11 12:30:00,"Chlorine, Total",ZONE_CA_NODE_14,1.0
False,2025-03-11 12:30:00,pH field,ZONE_CA_NODE_14,7.9
False,2025-03-11 12:30:00,Temperature,ZONE_CA_NODE_14,15.5
False,2025-03-11 12:30:00,"Chlorine, Free",ZONE_BO_NODE_07,0.22
False,2025-03-11 12:30:00,"Chlorine, Total",ZONE_BO_NODE_07,0.65
False,2025-03-11 12:30:00,pH field,ZONE_BO_NODE_07,7.4
False,2025-03-11 12:30:00,Temperature,ZONE_BO_NODE_07,17.0
False,2025-03-11 12:28:00,"Chlorine, Free",ZONE_DC_NODE_18,0.97
